laus_code,state_fips_code,county_fips_code,name,year,labor_force,employed,unemployed,unemployment_rate
CN0100100000000,01,001,"Autauga County, AL",2006,24398,23585,813,3.300000
CN0100300000000,01,003,"Baldwin County, AL",2006,79711,77147,2564,3.200000
CN0100500000000,01,005,"Barbour County, AL",2006,10705,10096,609,5.700000
CN0100700000000,01,007,"Bibb County, AL",2006,8850,8477,373,4.200000
CN0100900000000,01,009,"Blount County, AL",2006,26770,25902,868,3.200000
CN0101100000000,01,011,"Bullock County, AL",2006,3702,3372,330,8.900000
CN0101300000000,01,013,"Butler County, AL",2006,9238,8709,529,5.700000
CN0101500000000,01,015,"Calhoun County, AL",2006,54063,51872,2191,4.100000
CN0101700000000,01,017,"Chambers County, AL",2006,15749,14828,921,5.800000
CN0101900000000,01,019,"Cherokee County, AL",2006,11854,11352,502,4.200000
CN0102100000000,01,021,"Chilton County, AL",2006,19771,19059,712,3.600000
CN0102300000000,01,023,"Choctaw County, AL",2006,5329,5030,299,5.600000
CN0102500000000,01,025,"Clarke County, AL",2006,10261,9622,639,6.200000
CN0102700000000,01,027,"Clay County, AL",2006,6182,5902,280,4.500000
CN0102900000000,01,029,"Cleburne County, AL",2006,6639,6406,233,3.500000
CN0103100000000,01,031,"Coffee County, AL",2006,20691,19917,774,3.700000
CN0103300000000,01,033,"Colbert County, AL",2006,25307,24128,1179,4.700000
CN0103500000000,01,035,"Conecuh County, AL",2006,5123,4833,290,5.700000
CN0103700000000,01,037,"Coosa County, AL",2006,4794,4525,269,5.600000
CN0103900000000,01,039,"Covington County, AL",2006,17195,16529,666,3.900000
CN0104100000000,01,041,"Crenshaw County, AL",2006,6595,6332,263,4.000000
CN0104300000000,01,043,"Cullman County, AL",2006,39375,38026,1349,3.400000
CN0104500000000,01,045,"Dale County, AL",2006,20480,19522,958,4.700000
CN0104700000000,01,047,"Dallas County, AL",2006,15903,14594,1309,8.200000
CN0104900000000,01,049,"DeKalb County, AL",2006,31493,30176,1317,4.200000
CN0105100000000,01,051,"Elmore County, AL",2006,35169,33968,1201,3.400000
CN0105300000000,01,053,"Escambia County, AL",2006,14348,13634,714,5.000000
CN0105500000000,01,055,"Etowah County, AL",2006,46521,44546,1975,4.200000
CN0105700000000,01,057,"Fayette County, AL",2006,7743,7414,329,4.200000
CN0105900000000,01,059,"Franklin County, AL",2006,13939,13291,648,4.600000
CN0106100000000,01,061,"Geneva County, AL",2006,11699,11257,442,3.800000
CN0106300000000,01,063,"Greene County, AL",2006,3392,3201,191,5.600000
CN0106500000000,01,065,"Hale County, AL",2006,7170,6792,378,5.300000
CN0106700000000,01,067,"Henry County, AL",2006,7506,7204,302,4.000000
CN0106900000000,01,069,"Houston County, AL",2006,46701,45099,1602,3.400000
CN0107100000000,01,071,"Jackson County, AL",2006,27066,25852,1214,4.500000
CN0107300000000,01,073,"Jefferson County, AL",2006,316750,304027,12723,4.000000
CN0107500000000,01,075,"Lamar County, AL",2006,6043,5727,316,5.200000
CN0107700000000,01,077,"Lauderdale County, AL",2006,42593,40795,1798,4.200000
CN0107900000000,01,079,"Lawrence County, AL",2006,15644,14889,755,4.800000
CN0108100000000,01,081,"Lee County, AL",2006,64828,62616,2212,3.400000
CN0108300000000,01,083,"Limestone County, AL",2006,35764,34458,1306,3.700000
CN0108500000000,01,085,"Lowndes County, AL",2006,4814,4448,366,7.600000
CN0108700000000,01,087,"Macon County, AL",2006,8836,8368,468,5.300000
CN0108900000000,01,089,"Madison County, AL",2006,161332,156018,5314,3.300000
CN0109100000000,01,091,"Marengo County, AL",2006,8592,8193,399,4.600000
CN0109300000000,01,093,"Marion County, AL",2006,13504,12913,591,4.400000
CN0109500000000,01,095,"Marshall County, AL",2006,41986,40527,1459,3.500000
CN0109700000000,01,097,"Mobile County, AL",2006,182019,174428,7591,4.200000
CN0109900000000,01,099,"Monroe County, AL",2006,9323,8759,564,6.000000
CN0110100000000,01,101,"Montgomery County, AL",2006,105711,101297,4414,4.200000
CN0110300000000,01,103,"Morgan County, AL",2006,55887,53635,2252,4.000000
CN0110500000000,01,105,"Perry County, AL",2006,3586,3284,302,8.400000
CN0110700000000,01,107,"Pickens County, AL",2006,8113,7703,410,5.100000
CN0110900000000,01,109,"Pike County, AL",2006,15166,14557,609,4.000000
CN0111100000000,01,111,"Randolph County, AL",2006,9758,9237,521,5.300000
CN0111300000000,01,113,"Russell County, AL",2006,21467,20204,1263,5.900000
CN0111500000000,01,115,"St. Clair County, AL",2006,35053,33819,1234,3.500000
CN0111700000000,01,117,"Shelby County, AL",2006,98394,95698,2696,2.700000
CN0111900000000,01,119,"Sumter County, AL",2006,4791,4465,326,6.800000
CN0112100000000,01,121,"Talladega County, AL",2006,39456,37413,2043,5.200000
CN0112300000000,01,123,"Tallapoosa County, AL",2006,18536,17595,941,5.100000
CN0112500000000,01,125,"Tuscaloosa County, AL",2006,87495,84619,2876,3.300000
CN0112700000000,01,127,"Walker County, AL",2006,29877,28516,1361,4.600000
CN0112900000000,01,129,"Washington County, AL",2006,6901,6501,400,5.800000
CN0113100000000,01,131,"Wilcox County, AL",2006,3571,3260,311,8.700000
CN0113300000000,01,133,"Winston County, AL",2006,10591,10067,524,4.900000
CN0201300000000,02,013,"Aleutians East Borough, AK",2006,1141,1044,97,8.500000
CN0201600000000,02,016,"Aleutians West Census Area, AK",2006,3214,3031,183,5.700000
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2006,151530,143482,8048,5.300000
CN0205000000000,02,050,"Bethel Census Area, AK",2006,6980,6057,923,13.200000
CN0206000000000,02,060,"Bristol Bay Borough, AK",2006,1021,966,55,5.400000
CN0206800000000,02,068,"Denali Borough, AK",2006,1648,1552,96,5.800000
CN0207000000000,02,070,"Dillingham Census Area, AK",2006,2103,1902,201,9.600000
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2006,45211,42634,2577,5.700000
CN0210000000000,02,100,"Haines Borough, AK",2006,1453,1336,117,8.100000
CN0211000000000,02,110,"Juneau Borough/city, AK",2006,18544,17645,899,4.800000
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2006,25460,23373,2087,8.200000
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2006,8100,7603,497,6.100000
CN0215000000000,02,150,"Kodiak Island Borough, AK",2006,6148,5688,460,7.500000
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2006,1081,1015,66,6.100000
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2006,39042,36118,2924,7.500000
CN0218000000000,02,180,"Nome Census Area, AK",2006,3897,3427,470,12.100000
CN0218500000000,02,185,"North Slope Borough, AK",2006,4144,3860,284,6.900000
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2006,2963,2627,336,11.300000
CN0220100000000,02,201,"Prince of Wales-Outer Ketchikan Census Area, AK",2006,2353,2016,337,14.300000
CN0222000000000,02,220,"Sitka Borough/city, AK",2006,4684,4431,253,5.400000
CN0223200000000,02,232,"Skagway-Hoonah-Angoon Census Area, AK",2006,1898,1657,241,12.700000
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2006,3344,2986,358,10.700000
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2006,5192,4749,443,8.500000
CN0227000000000,02,270,"Wade Hampton Census Area, AK",2006,2539,2012,527,20.800000
CN0228000000000,02,280,"Wrangell-Petersburg Census Area, AK",2006,2907,2629,278,9.600000
CN0228200000000,02,282,"Yakutat Borough/city, AK",2006,311,281,30,9.600000
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2006,2790,2424,366,13.100000
CN0400100000000,04,001,"Apache County, AZ",2006,20365,18320,2045,10.000000
CN0400300000000,04,003,"Cochise County, AZ",2006,57210,54625,2585,4.500000
CN0400500000000,04,005,"Coconino County, AZ",2006,69512,66470,3042,4.400000
CN0400700000000,04,007,"Gila County, AZ",2006,20972,19878,1094,5.200000
CN0400900000000,04,009,"Graham County, AZ",2006,13124,12456,668,5.100000
CN0401100000000,04,011,"Greenlee County, AZ",2006,3774,3631,143,3.800000
CN0401200000000,04,012,"La Paz County, AZ",2006,7759,7311,448,5.800000
CN0401300000000,04,013,"Maricopa County, AZ",2006,1920575,1851719,68856,3.600000
CN0401500000000,04,015,"Mohave County, AZ",2006,92888,88852,4036,4.300000
CN0401700000000,04,017,"Navajo County, AZ",2006,38224,35396,2828,7.400000
CN0401900000000,04,019,"Pima County, AZ",2006,451861,433523,18338,4.100000
CN0402100000000,04,021,"Pinal County, AZ",2006,102937,97775,5162,5.000000
CN0402300000000,04,023,"Santa Cruz County, AZ",2006,16746,15468,1278,7.600000
CN0402500000000,04,025,"Yavapai County, AZ",2006,96732,92833,3899,4.000000
CN0402700000000,04,027,"Yuma County, AZ",2006,77764,66129,11635,15.000000
CN0500100000000,05,001,"Arkansas County, AR",2006,11749,10860,889,7.600000
CN0500300000000,05,003,"Ashley County, AR",2006,9798,9067,731,7.500000
CN0500500000000,05,005,"Baxter County, AR",2006,17534,16604,930,5.300000
CN0500700000000,05,007,"Benton County, AR",2006,103728,100267,3461,3.300000
CN0500900000000,05,009,"Boone County, AR",2006,17099,16256,843,4.900000
CN0501100000000,05,011,"Bradley County, AR",2006,5719,5320,399,7.000000
CN0501300000000,05,013,"Calhoun County, AR",2006,2672,2487,185,6.900000
CN0501500000000,05,015,"Carroll County, AR",2006,14034,13429,605,4.300000
CN0501700000000,05,017,"Chicot County, AR",2006,5031,4611,420,8.300000
CN0501900000000,05,019,"Clark County, AR",2006,11021,10411,610,5.500000
CN0502100000000,05,021,"Clay County, AR",2006,7138,6557,581,8.100000
CN0502300000000,05,023,"Cleburne County, AR",2006,11643,11062,581,5.000000
CN0502500000000,05,025,"Cleveland County, AR",2006,4238,3981,257,6.100000
CN0502700000000,05,027,"Columbia County, AR",2006,11148,10475,673,6.000000
CN0502900000000,05,029,"Conway County, AR",2006,9939,9451,488,4.900000
CN0503100000000,05,031,"Craighead County, AR",2006,45843,43648,2195,4.800000
CN0503300000000,05,033,"Crawford County, AR",2006,28157,26886,1271,4.500000
CN0503500000000,05,035,"Crittenden County, AR",2006,22464,20939,1525,6.800000
CN0503700000000,05,037,"Cross County, AR",2006,8654,8030,624,7.200000
CN0503900000000,05,039,"Dallas County, AR",2006,3952,3694,258,6.500000
CN0504100000000,05,041,"Desha County, AR",2006,6356,5778,578,9.100000
CN0504300000000,05,043,"Drew County, AR",2006,8595,7911,684,8.000000
CN0504500000000,05,045,"Faulkner County, AR",2006,53586,51235,2351,4.400000
CN0504700000000,05,047,"Franklin County, AR",2006,8586,8217,369,4.300000
CN0504900000000,05,049,"Fulton County, AR",2006,5128,4869,259,5.100000
CN0505100000000,05,051,"Garland County, AR",2006,42313,40108,2205,5.200000
CN0505300000000,05,053,"Grant County, AR",2006,8689,8266,423,4.900000
CN0505500000000,05,055,"Greene County, AR",2006,19060,17981,1079,5.700000
CN0505700000000,05,057,"Hempstead County, AR",2006,11097,10497,600,5.400000
CN0505900000000,05,059,"Hot Spring County, AR",2006,15604,14798,806,5.200000
CN0506100000000,05,061,"Howard County, AR",2006,6511,6160,351,5.400000
CN0506300000000,05,063,"Independence County, AR",2006,17664,16695,969,5.500000
CN0506500000000,05,065,"Izard County, AR",2006,5416,5082,334,6.200000
CN0506700000000,05,067,"Jackson County, AR",2006,7925,7316,609,7.700000
CN0506900000000,05,069,"Jefferson County, AR",2006,36465,33607,2858,7.800000
CN0507100000000,05,071,"Johnson County, AR",2006,11184,10611,573,5.100000
CN0507300000000,05,073,"Lafayette County, AR",2006,3158,2936,222,7.000000
CN0507500000000,05,075,"Lawrence County, AR",2006,7479,6974,505,6.800000
CN0507700000000,05,077,"Lee County, AR",2006,3618,3287,331,9.100000
CN0507900000000,05,079,"Lincoln County, AR",2006,5196,4782,414,8.000000
CN0508100000000,05,081,"Little River County, AR",2006,6535,6240,295,4.500000
CN0508300000000,05,083,"Logan County, AR",2006,10322,9822,500,4.800000
