laus_code,state_fips_code,county_fips_code,name,year,labor_force,employed,unemployed,unemployment_rate
CN0106100000000,01,061,"Geneva County, AL",2014,10783,10056,727,6.700000
CN0106300000000,01,063,"Greene County, AL",2014,3000,2621,379,12.600000
CN0106500000000,01,065,"Hale County, AL",2014,6142,5540,602,9.800000
CN0106700000000,01,067,"Henry County, AL",2014,6799,6293,506,7.400000
CN0106900000000,01,069,"Houston County, AL",2014,44834,41781,3053,6.800000
CN0107100000000,01,071,"Jackson County, AL",2014,23306,21626,1680,7.200000
CN0107300000000,01,073,"Jefferson County, AL",2014,311833,292161,19672,6.300000
CN0107500000000,01,075,"Lamar County, AL",2014,5547,5151,396,7.100000
CN0107700000000,01,077,"Lauderdale County, AL",2014,43367,40253,3114,7.200000
CN0107900000000,01,079,"Lawrence County, AL",2014,13988,12835,1153,8.200000
CN0108100000000,01,081,"Lee County, AL",2014,70960,66991,3969,5.600000
CN0108300000000,01,083,"Limestone County, AL",2014,39016,36635,2381,6.100000
CN0108500000000,01,085,"Lowndes County, AL",2014,3906,3402,504,12.900000
CN0108700000000,01,087,"Macon County, AL",2014,8211,7461,750,9.100000
CN0108900000000,01,089,"Madison County, AL",2014,169656,159203,10453,6.200000
CN0109100000000,01,091,"Marengo County, AL",2014,7597,6986,611,8.000000
CN0109300000000,01,093,"Marion County, AL",2014,12160,11181,979,8.100000
CN0109500000000,01,095,"Marshall County, AL",2014,39588,36936,2652,6.700000
CN0109700000000,01,097,"Mobile County, AL",2014,184133,169947,14186,7.700000
CN0109900000000,01,099,"Monroe County, AL",2014,7530,6679,851,11.300000
CN0110100000000,01,101,"Montgomery County, AL",2014,104838,97592,7246,6.900000
CN0110300000000,01,103,"Morgan County, AL",2014,55799,52105,3694,6.600000
CN0110500000000,01,105,"Perry County, AL",2014,3454,3024,430,12.400000
CN0110700000000,01,107,"Pickens County, AL",2014,7429,6818,611,8.200000
CN0110900000000,01,109,"Pike County, AL",2014,14839,13757,1082,7.300000
CN0111100000000,01,111,"Randolph County, AL",2014,9166,8537,629,6.900000
CN0111300000000,01,113,"Russell County, AL",2014,24634,23001,1633,6.600000
CN0111500000000,01,115,"St. Clair County, AL",2014,38380,36153,2227,5.800000
CN0111700000000,01,117,"Shelby County, AL",2014,106051,101254,4797,4.500000
CN0111900000000,01,119,"Sumter County, AL",2014,5321,4850,471,8.900000
CN0112100000000,01,121,"Talladega County, AL",2014,34916,32234,2682,7.700000
CN0112300000000,01,123,"Tallapoosa County, AL",2014,18136,16748,1388,7.700000
CN0112500000000,01,125,"Tuscaloosa County, AL",2014,96911,91140,5771,6.000000
CN0112700000000,01,127,"Walker County, AL",2014,25912,23924,1988,7.700000
CN0112900000000,01,129,"Washington County, AL",2014,6556,5908,648,9.900000
CN0113100000000,01,131,"Wilcox County, AL",2014,2849,2354,495,17.400000
CN0113300000000,01,133,"Winston County, AL",2014,9485,8653,832,8.800000
CN0201300000000,02,013,"Aleutians East Borough, AK",2014,2246,2143,103,4.600000
CN0201600000000,02,016,"Aleutians West Census Area, AK",2014,4419,4201,218,4.900000
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2014,159955,151731,8224,5.100000
CN0205000000000,02,050,"Bethel Census Area, AK",2014,7325,6154,1171,16.000000
CN0206000000000,02,060,"Bristol Bay Borough, AK",2014,499,459,40,8.000000
CN0206800000000,02,068,"Denali Borough, AK",2014,1070,962,108,10.100000
CN0207000000000,02,070,"Dillingham Census Area, AK",2014,2144,1931,213,9.900000
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2014,47119,44411,2708,5.700000
CN0210000000000,02,100,"Haines Borough, AK",2014,1109,993,116,10.500000
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2014,1141,969,172,15.100000
CN0211000000000,02,110,"Juneau Borough/city, AK",2014,17457,16574,883,5.100000
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2014,27969,25789,2180,7.800000
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2014,7108,6568,540,7.600000
CN0215000000000,02,150,"Kodiak Island Borough, AK",2014,6617,6243,374,5.700000
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2014,637,539,98,15.400000
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2014,44183,40645,3538,8.000000
CN0218000000000,02,180,"Nome Census Area, AK",2014,4190,3682,508,12.100000
CN0218500000000,02,185,"North Slope Borough, AK",2014,4326,4075,251,5.800000
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2014,3061,2551,510,16.700000
CN0219500000000,02,195,"Petersburg Census Area, AK",2014,1636,1475,161,9.800000
CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2014,2799,2427,372,13.300000
CN0222000000000,02,220,"Sitka Borough/city, AK",2014,4701,4461,240,5.100000
CN0223000000000,02,230,"Skagway Municipality, AK",2014,805,710,95,11.800000
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2014,2946,2562,384,13.000000
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2014,4907,4439,468,9.500000
CN0227000000000,02,270,"Wade Hampton Census Area, AK",2014,2835,2164,671,23.700000
CN0227500000000,02,275,"Wrangell Borough/city, AK",2014,1063,971,92,8.700000
CN0228200000000,02,282,"Yakutat Borough/city, AK",2014,277,250,27,9.700000
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2014,2620,2130,490,18.700000
CN0400100000000,04,001,"Apache County, AZ",2014,21185,17802,3383,16.000000
CN0400300000000,04,003,"Cochise County, AZ",2014,50978,46677,4301,8.400000
CN0400500000000,04,005,"Coconino County, AZ",2014,71901,66755,5146,7.200000
CN0400700000000,04,007,"Gila County, AZ",2014,21363,19566,1797,8.400000
CN0400900000000,04,009,"Graham County, AZ",2014,14418,13316,1102,7.600000
CN0401100000000,04,011,"Greenlee County, AZ",2014,4699,4393,306,6.500000
CN0401200000000,04,012,"La Paz County, AZ",2014,8011,7374,637,8.000000
CN0401300000000,04,013,"Maricopa County, AZ",2014,1956284,1841365,114919,5.900000
CN0401500000000,04,015,"Mohave County, AZ",2014,78247,71342,6905,8.800000
CN0401700000000,04,017,"Navajo County, AZ",2014,41593,36908,4685,11.300000
CN0401900000000,04,019,"Pima County, AZ",2014,461806,433321,28485,6.200000
CN0402100000000,04,021,"Pinal County, AZ",2014,151645,140679,10966,7.200000
CN0402300000000,04,023,"Santa Cruz County, AZ",2014,20258,17593,2665,13.200000
CN0402500000000,04,025,"Yavapai County, AZ",2014,95402,89353,6049,6.300000
CN0402700000000,04,027,"Yuma County, AZ",2014,92838,71198,21640,23.300000
CN0500100000000,05,001,"Arkansas County, AR",2014,9291,8787,504,5.400000
CN0500300000000,05,003,"Ashley County, AR",2014,8470,7675,795,9.400000
CN0500500000000,05,005,"Baxter County, AR",2014,15740,14671,1069,6.800000
CN0500700000000,05,007,"Benton County, AR",2014,113328,108068,5260,4.600000
CN0500900000000,05,009,"Boone County, AR",2014,15417,14469,948,6.100000
CN0501100000000,05,011,"Bradley County, AR",2014,4123,3773,350,8.500000
CN0501300000000,05,013,"Calhoun County, AR",2014,2353,2194,159,6.800000
CN0501500000000,05,015,"Carroll County, AR",2014,12379,11728,651,5.300000
CN0501700000000,05,017,"Chicot County, AR",2014,3837,3430,407,10.600000
CN0501900000000,05,019,"Clark County, AR",2014,9443,8779,664,7.000000
CN0502100000000,05,021,"Clay County, AR",2014,6334,5824,510,8.100000
CN0502300000000,05,023,"Cleburne County, AR",2014,9607,8807,800,8.300000
CN0502500000000,05,025,"Cleveland County, AR",2014,3437,3198,239,7.000000
CN0502700000000,05,027,"Columbia County, AR",2014,9369,8685,684,7.300000
CN0502900000000,05,029,"Conway County, AR",2014,8466,7868,598,7.100000
CN0503100000000,05,031,"Craighead County, AR",2014,49142,46441,2701,5.500000
CN0503300000000,05,033,"Crawford County, AR",2014,26433,24823,1610,6.100000
CN0503500000000,05,035,"Crittenden County, AR",2014,21184,19642,1542,7.300000
CN0503700000000,05,037,"Cross County, AR",2014,8002,7475,527,6.600000
CN0503900000000,05,039,"Dallas County, AR",2014,2861,2590,271,9.500000
CN0504100000000,05,041,"Desha County, AR",2014,5515,5058,457,8.300000
CN0504300000000,05,043,"Drew County, AR",2014,7895,7213,682,8.600000
CN0504500000000,05,045,"Faulkner County, AR",2014,58134,54835,3299,5.700000
CN0504700000000,05,047,"Franklin County, AR",2014,7213,6796,417,5.800000
CN0504900000000,05,049,"Fulton County, AR",2014,4710,4428,282,6.000000
CN0505100000000,05,051,"Garland County, AR",2014,40044,37480,2564,6.400000
CN0505300000000,05,053,"Grant County, AR",2014,8116,7665,451,5.600000
CN0505500000000,05,055,"Greene County, AR",2014,19403,18142,1261,6.500000
CN0505700000000,05,057,"Hempstead County, AR",2014,9812,9212,600,6.100000
CN0505900000000,05,059,"Hot Spring County, AR",2014,13863,13049,814,5.900000
CN0506100000000,05,061,"Howard County, AR",2014,6249,5883,366,5.900000
CN0506300000000,05,063,"Independence County, AR",2014,15271,14055,1216,8.000000
CN0506500000000,05,065,"Izard County, AR",2014,4841,4472,369,7.600000
CN0506700000000,05,067,"Jackson County, AR",2014,6115,5543,572,9.400000
CN0506900000000,05,069,"Jefferson County, AR",2014,29195,26592,2603,8.900000
CN0507100000000,05,071,"Johnson County, AR",2014,10185,9510,675,6.600000
CN0507300000000,05,073,"Lafayette County, AR",2014,2641,2430,211,8.000000
CN0507500000000,05,075,"Lawrence County, AR",2014,6994,6476,518,7.400000
CN0507700000000,05,077,"Lee County, AR",2014,3226,2972,254,7.900000
CN0507900000000,05,079,"Lincoln County, AR",2014,4144,3841,303,7.300000
CN0508100000000,05,081,"Little River County, AR",2014,5534,5166,368,6.600000
CN0508300000000,05,083,"Logan County, AR",2014,9003,8455,548,6.100000
CN0508500000000,05,085,"Lonoke County, AR",2014,32178,30506,1672,5.200000
CN0508700000000,05,087,"Madison County, AR",2014,6954,6614,340,4.900000
CN0508900000000,05,089,"Marion County, AR",2014,6436,6020,416,6.500000
CN0509100000000,05,091,"Miller County, AR",2014,19052,17905,1147,6.000000
CN0509300000000,05,093,"Mississippi County, AR",2014,18954,17190,1764,9.300000
CN0509500000000,05,095,"Monroe County, AR",2014,3080,2870,210,6.800000
CN0509700000000,05,097,"Montgomery County, AR",2014,3321,3052,269,8.100000
CN0509900000000,05,099,"Nevada County, AR",2014,3646,3423,223,6.100000
CN0510100000000,05,101,"Newton County, AR",2014,3361,3159,202,6.000000
CN0510300000000,05,103,"Ouachita County, AR",2014,9883,9087,796,8.100000
CN0510500000000,05,105,"Perry County, AR",2014,4240,3914,326,7.700000
CN0510700000000,05,107,"Phillips County, AR",2014,7199,6508,691,9.600000
CN0510900000000,05,109,"Pike County, AR",2014,4160,3849,311,7.500000
CN0511100000000,05,111,"Poinsett County, AR",2014,10073,9376,697,6.900000
CN0511300000000,05,113,"Polk County, AR",2014,8362,7825,537,6.400000
CN0511500000000,05,115,"Pope County, AR",2014,29204,27346,1858,6.400000
CN0511700000000,05,117,"Prairie County, AR",2014,3767,3543,224,5.900000
CN0511900000000,05,119,"Pulaski County, AR",2014,182809,172578,10231,5.600000
CN0512100000000,05,121,"Randolph County, AR",2014,6479,5957,522,8.100000
CN0512300000000,05,123,"St. Francis County, AR",2014,8826,8039,787,8.900000
CN0512500000000,05,125,"Saline County, AR",2014,53685,51029,2656,4.900000
CN0512700000000,05,127,"Scott County, AR",2014,4531,4296,235,5.200000
CN0512900000000,05,129,"Searcy County, AR",2014,2954,2761,193,6.500000
CN0513100000000,05,131,"Sebastian County, AR",2014,56683,53419,3264,5.800000
CN0513300000000,05,133,"Sevier County, AR",2014,5722,5322,400,7.000000
CN0513500000000,05,135,"Sharp County, AR",2014,5874,5363,511,8.700000
CN0513700000000,05,137,"Stone County, AR",2014,4661,4290,371,8.000000
CN0513900000000,05,139,"Union County, AR",2014,16374,15137,1237,7.600000
CN0514100000000,05,141,"Van Buren County, AR",2014,6373,5852,521,8.200000
CN0514300000000,05,143,"Washington County, AR",2014,108276,103486,4790,4.400000
CN0514500000000,05,145,"White County, AR",2014,34055,31598,2457,7.200000
CN0514700000000,05,147,"Woodruff County, AR",2014,3150,2903,247,7.800000
CN0514900000000,05,149,"Yell County, AR",2014,8963,8457,506,5.600000
CN0600100000000,06,001,"Alameda County, CA",2014,811346,763663,47683,5.900000
CN0600300000000,06,003,"Alpine County, CA",2014,491,448,43,8.800000
CN0600500000000,06,005,"Amador County, CA",2014,14459,13252,1207,8.300000
CN0600700000000,06,007,"Butte County, CA",2014,101924,93104,8820,8.700000
CN0600900000000,06,009,"Calaveras County, CA",2014,20307,18666,1641,8.100000
CN0601100000000,06,011,"Colusa County, CA",2014,11152,9205,1947,17.500000
CN0601300000000,06,013,"Contra Costa County, CA",2014,544022,510513,33509,6.200000
CN0601500000000,06,015,"Del Norte County, CA",2014,10041,9019,1022,10.200000
CN0601700000000,06,017,"El Dorado County, CA",2014,88797,82585,6212,7.000000
CN0601900000000,06,019,"Fresno County, CA",2014,441022,389805,51217,11.600000
CN0602100000000,06,021,"Glenn County, CA",2014,12908,11533,1375,10.700000
CN0602300000000,06,023,"Humboldt County, CA",2014,62751,58495,4256,6.800000
CN0602500000000,06,025,"Imperial County, CA",2014,80266,61309,18957,23.600000
CN0602700000000,06,027,"Inyo County, CA",2014,9213,8570,643,7.000000
CN0602900000000,06,029,"Kern County, CA",2014,394849,353645,41204,10.400000
CN0603100000000,06,031,"Kings County, CA",2014,57393,50473,6920,12.100000
CN0603300000000,06,033,"Lake County, CA",2014,29928,27275,2653,8.900000
CN0603500000000,06,035,"Lassen County, CA",2014,10808,9806,1002,9.300000
CN0603700000000,06,037,"Los Angeles County, CA",2014,5025883,4610795,415088,8.300000
CN0603900000000,06,039,"Madera County, CA",2014,63184,56203,6981,11.000000
CN0604100000000,06,041,"Marin County, CA",2014,140051,134071,5980,4.300000
CN0604300000000,06,043,"Mariposa County, CA",2014,8128,7413,715,8.800000
CN0604500000000,06,045,"Mendocino County, CA",2014,41067,38229,2838,6.900000
CN0604700000000,06,047,"Merced County, CA",2014,115386,100615,14771,12.800000
CN0604900000000,06,049,"Modoc County, CA",2014,3365,3012,353,10.500000
CN0605100000000,06,051,"Mono County, CA",2014,8161,7572,589,7.200000
CN0605300000000,06,053,"Monterey County, CA",2014,219814,199894,19920,9.100000
CN0605500000000,06,055,"Napa County, CA",2014,74041,69912,4129,5.600000
CN0605700000000,06,057,"Nevada County, CA",2014,47906,44753,3153,6.600000
CN0605900000000,06,059,"Orange County, CA",2014,1575606,1489164,86442,5.500000
CN0606100000000,06,061,"Placer County, CA",2014,176474,165421,11053,6.300000
CN0606300000000,06,063,"Plumas County, CA",2014,8140,7188,952,11.700000
CN0606500000000,06,065,"Riverside County, CA",2014,1010706,927334,83372,8.200000
CN0606700000000,06,067,"Sacramento County, CA",2014,682174,632195,49979,7.300000
CN0606900000000,06,069,"San Benito County, CA",2014,29242,26511,2731,9.300000
CN0607100000000,06,071,"San Bernardino County, CA",2014,909188,835991,73197,8.100000
CN0607300000000,06,073,"San Diego County, CA",2014,1546363,1447147,99216,6.400000
CN0607500000000,06,075,"San Francisco County/city, CA",2014,532645,509338,23307,4.400000
CN0607700000000,06,077,"San Joaquin County, CA",2014,311061,277967,33094,10.600000
CN0607900000000,06,079,"San Luis Obispo County, CA",2014,139865,132027,7838,5.600000
CN0608100000000,06,081,"San Mateo County, CA",2014,430778,412661,18117,4.200000
CN0608300000000,06,083,"Santa Barbara County, CA",2014,218721,205421,13300,6.100000
CN0608500000000,06,085,"Santa Clara County, CA",2014,995256,943520,51736,5.200000
CN0608700000000,06,087,"Santa Cruz County, CA",2014,142626,130157,12469,8.700000
CN0608900000000,06,089,"Shasta County, CA",2014,75458,68165,7293,9.700000
CN0609100000000,06,091,"Sierra County, CA",2014,1448,1303,145,10.000000
CN0609300000000,06,093,"Siskiyou County, CA",2014,18001,15973,2028,11.300000
CN0609500000000,06,095,"Solano County, CA",2014,203706,188520,15186,7.500000
CN0609700000000,06,097,"Sonoma County, CA",2014,257295,242944,14351,5.600000
CN0609900000000,06,099,"Stanislaus County, CA",2014,241446,214361,27085,11.200000
CN0610100000000,06,101,"Sutter County, CA",2014,44455,38802,5653,12.700000
CN0610300000000,06,103,"Tehama County, CA",2014,25250,22807,2443,9.700000
CN0610500000000,06,105,"Trinity County, CA",2014,5045,4544,501,9.900000
CN0610700000000,06,107,"Tulare County, CA",2014,198631,172359,26272,13.200000
CN0610900000000,06,109,"Tuolumne County, CA",2014,21638,19750,1888,8.700000
CN0611100000000,06,111,"Ventura County, CA",2014,431547,402720,28827,6.700000
CN0611300000000,06,113,"Yolo County, CA",2014,101799,93985,7814,7.700000
CN0611500000000,06,115,"Yuba County, CA",2014,28165,25007,3158,11.200000
CN0800100000000,08,001,"Adams County, CO",2014,245361,231357,14004,5.700000
CN0800300000000,08,003,"Alamosa County, CO",2014,7558,7022,536,7.100000
CN0800500000000,08,005,"Arapahoe County, CO",2014,333429,317086,16343,4.900000
CN0800700000000,08,007,"Archuleta County, CO",2014,5751,5407,344,6.000000
CN0800900000000,08,009,"Baca County, CO",2014,1962,1907,55,2.800000
CN0801100000000,08,011,"Bent County, CO",2014,1673,1585,88,5.300000
CN0801300000000,08,013,"Boulder County, CO",2014,177744,170468,7276,4.100000
CN0801400000000,08,014,"Broomfield County/city, CO",2014,33583,32147,1436,4.300000
CN0801500000000,08,015,"Chaffee County, CO",2014,8501,8125,376,4.400000
CN0801700000000,08,017,"Cheyenne County, CO",2014,998,969,29,2.900000
CN0801900000000,08,019,"Clear Creek County, CO",2014,5564,5305,259,4.700000
CN0802100000000,08,021,"Conejos County, CO",2014,3629,3345,284,7.800000
CN0802300000000,08,023,"Costilla County, CO",2014,1622,1474,148,9.100000
CN0802500000000,08,025,"Crowley County, CO",2014,1313,1233,80,6.100000
CN0802700000000,08,027,"Custer County, CO",2014,1994,1901,93,4.700000
CN0802900000000,08,029,"Delta County, CO",2014,13743,12794,949,6.900000
CN0803100000000,08,031,"Denver County/city, CO",2014,370487,352427,18060,4.900000
CN0803300000000,08,033,"Dolores County, CO",2014,1285,1233,52,4.000000
CN0803500000000,08,035,"Douglas County, CO",2014,168842,162063,6779,4.000000
CN0803700000000,08,037,"Eagle County, CO",2014,32739,31357,1382,4.200000
CN0803900000000,08,039,"Elbert County, CO",2014,13036,12480,556,4.300000
CN0804100000000,08,041,"El Paso County, CO",2014,308020,289415,18605,6.000000
CN0804300000000,08,043,"Fremont County, CO",2014,14641,13449,1192,8.100000
CN0804500000000,08,045,"Garfield County, CO",2014,31505,29871,1634,5.200000
CN0804700000000,08,047,"Gilpin County, CO",2014,3387,3239,148,4.400000
CN0804900000000,08,049,"Grand County, CO",2014,8934,8571,363,4.100000
CN0805100000000,08,051,"Gunnison County, CO",2014,9721,9325,396,4.100000
CN0805300000000,08,053,"Hinsdale County, CO",2014,444,427,17,3.800000
CN0805500000000,08,055,"Huerfano County, CO",2014,2437,2192,245,10.100000
CN0805700000000,08,057,"Jackson County, CO",2014,848,818,30,3.500000
CN0805900000000,08,059,"Jefferson County, CO",2014,311855,297657,14198,4.600000
CN0806100000000,08,061,"Kiowa County, CO",2014,763,737,26,3.400000
CN0806300000000,08,063,"Kit Carson County, CO",2014,4373,4239,134,3.100000
CN0806500000000,08,065,"Lake County, CO",2014,4569,4349,220,4.800000
CN0806700000000,08,067,"La Plata County, CO",2014,30136,28861,1275,4.200000
CN0806900000000,08,069,"Larimer County, CO",2014,177264,169686,7578,4.300000
CN0807100000000,08,071,"Las Animas County, CO",2014,6522,6024,498,7.600000
CN0807300000000,08,073,"Lincoln County, CO",2014,2144,2057,87,4.100000
CN0807500000000,08,075,"Logan County, CO",2014,11088,10667,421,3.800000
CN0807700000000,08,077,"Mesa County, CO",2014,73608,69068,4540,6.200000
CN0807900000000,08,079,"Mineral County, CO",2014,427,405,22,5.200000
CN0808100000000,08,081,"Moffat County, CO",2014,7353,6931,422,5.700000
CN0808300000000,08,083,"Montezuma County, CO",2014,12711,11934,777,6.100000
CN0808500000000,08,085,"Montrose County, CO",2014,19393,18068,1325,6.800000
CN0808700000000,08,087,"Morgan County, CO",2014,15010,14319,691,4.600000
CN0808900000000,08,089,"Otero County, CO",2014,8097,7482,615,7.600000
CN0809100000000,08,091,"Ouray County, CO",2014,2135,2018,117,5.500000
CN0809300000000,08,093,"Park County, CO",2014,9469,9030,439,4.600000
CN0809500000000,08,095,"Phillips County, CO",2014,2260,2185,75,3.300000
CN0809700000000,08,097,"Pitkin County, CO",2014,11030,10491,539,4.900000
CN0809900000000,08,099,"Prowers County, CO",2014,5783,5507,276,4.800000
CN0810100000000,08,101,"Pueblo County, CO",2014,73037,67679,5358,7.300000
CN0810300000000,08,103,"Rio Blanco County, CO",2014,2954,2782,172,5.800000
CN0810500000000,08,105,"Rio Grande County, CO",2014,4862,4423,439,9.000000
CN0810700000000,08,107,"Routt County, CO",2014,14458,13852,606,4.200000
CN0810900000000,08,109,"Saguache County, CO",2014,3022,2761,261,8.600000
CN0811100000000,08,111,"San Juan County, CO",2014,473,448,25,5.300000
CN0811300000000,08,113,"San Miguel County, CO",2014,4922,4689,233,4.700000
CN0811500000000,08,115,"Sedgwick County, CO",2014,1091,1041,50,4.600000
CN0811700000000,08,117,"Summit County, CO",2014,20263,19580,683,3.400000
CN0811900000000,08,119,"Teller County, CO",2014,11724,11038,686,5.900000
CN0812100000000,08,121,"Washington County, CO",2014,2679,2593,86,3.200000
CN0812300000000,08,123,"Weld County, CO",2014,146103,139519,6584,4.500000
CN0812500000000,08,125,"Yuma County, CO",2014,5007,4840,167,3.300000
CN0900100000000,09,001,"Fairfield County, CT",2014,475888,446528,29360,6.200000
CN0900300000000,09,003,"Hartford County, CT",2014,471431,439054,32377,6.900000
CN0900500000000,09,005,"Litchfield County, CT",2014,105945,99650,6295,5.900000
CN0900700000000,09,007,"Middlesex County, CT",2014,92018,86839,5179,5.600000
CN0900900000000,09,009,"New Haven County, CT",2014,455537,422625,32912,7.200000
CN0901100000000,09,011,"New London County, CT",2014,137254,128000,9254,6.700000
CN0901300000000,09,013,"Tolland County, CT",2014,84100,79365,4735,5.600000
CN0901500000000,09,015,"Windham County, CT",2014,62958,58361,4597,7.300000
CN1000100000000,10,001,"Kent County, DE",2014,75239,70459,4780,6.400000
CN1000300000000,10,003,"New Castle County, DE",2014,282787,267094,15693,5.500000
CN1000500000000,10,005,"Sussex County, DE",2014,93742,88360,5382,5.700000
CN1100100000000,11,001,District of Columbia,2014,377448,348049,29399,7.800000
CN1200100000000,12,001,"Alachua County, FL",2014,130895,124110,6785,5.200000
CN1200300000000,12,003,"Baker County, FL",2014,11385,10673,712,6.300000
CN1200500000000,12,005,"Bay County, FL",2014,87777,82282,5495,6.300000
CN1200700000000,12,007,"Bradford County, FL",2014,10884,10279,605,5.600000
CN1200900000000,12,009,"Brevard County, FL",2014,260004,242013,17991,6.900000
CN1201100000000,12,011,"Broward County, FL",2014,994081,936010,58071,5.800000
CN1201300000000,12,013,"Calhoun County, FL",2014,4943,4603,340,6.900000
CN1201500000000,12,015,"Charlotte County, FL",2014,67003,62493,4510,6.700000
CN1201700000000,12,017,"Citrus County, FL",2014,48578,44470,4108,8.500000
CN1201900000000,12,019,"Clay County, FL",2014,98450,92823,5627,5.700000
CN1202100000000,12,021,"Collier County, FL",2014,161233,151727,9506,5.900000
CN1202300000000,12,023,"Columbia County, FL",2014,28619,26764,1855,6.500000
CN1202700000000,12,027,"DeSoto County, FL",2014,13011,12087,924,7.100000
CN1202900000000,12,029,"Dixie County, FL",2014,5621,5202,419,7.500000
CN1203100000000,12,031,"Duval County, FL",2014,463985,432916,31069,6.700000
CN1203300000000,12,033,"Escambia County, FL",2014,141015,132067,8948,6.300000
CN1203500000000,12,035,"Flagler County, FL",2014,43115,39887,3228,7.500000
CN1203700000000,12,037,"Franklin County, FL",2014,5038,4761,277,5.500000
CN1203900000000,12,039,"Gadsden County, FL",2014,19039,17517,1522,8.000000
CN1204100000000,12,041,"Gilchrist County, FL",2014,6707,6268,439,6.500000
CN1204300000000,12,043,"Glades County, FL",2014,5303,4922,381,7.200000
CN1204500000000,12,045,"Gulf County, FL",2014,6309,5930,379,6.000000
CN1204700000000,12,047,"Hamilton County, FL",2014,4612,4250,362,7.800000
CN1204900000000,12,049,"Hardee County, FL",2014,10377,9577,800,7.700000
CN1205100000000,12,051,"Hendry County, FL",2014,16851,15069,1782,10.600000
CN1205300000000,12,053,"Hernando County, FL",2014,67159,61880,5279,7.900000
CN1205500000000,12,055,"Highlands County, FL",2014,36531,33547,2984,8.200000
CN1205700000000,12,057,"Hillsborough County, FL",2014,684400,644436,39964,5.800000
CN1205900000000,12,059,"Holmes County, FL",2014,6960,6485,475,6.800000
CN1206100000000,12,061,"Indian River County, FL",2014,62028,57176,4852,7.800000
CN1206300000000,12,063,"Jackson County, FL",2014,17948,16801,1147,6.400000
CN1206500000000,12,065,"Jefferson County, FL",2014,5535,5177,358,6.500000
CN1206700000000,12,067,"Lafayette County, FL",2014,3396,3219,177,5.200000
CN1206900000000,12,069,"Lake County, FL",2014,139296,130439,8857,6.400000
CN1207100000000,12,071,"Lee County, FL",2014,311695,293078,18617,6.000000
CN1207300000000,12,073,"Leon County, FL",2014,150980,142641,8339,5.500000
